sale_id,order_id,date_id,product_id,customer_id,store_id,quantity,unit_price,discount,total_amount,payment_method,device_type
3103,1115,20260125,1,1239,100,3,275.85,0.23,637.21,PayPal,Mobile
3104,2783,20260520,23,610,81,2,437.68,0.21,691.53,Credit Card,Mobile
3105,395,20260503,3,155,32,2,799.37,0.16,1342.94,PayPal,Mobile
3106,3074,20260817,21,206,32,1,213.9,0.01,211.76,Credit Card,Desktop
3107,655,20260712,10,6,13,2,107.1,0.16,179.93,Credit Card,Mobile
3108,3158,20260705,36,1516,26,4,806.29,0.05,3063.9,PayPal,Mobile
3109,3194,20261211,41,842,29,1,417.4,0.04,400.7,Debit Card,Mobile
3110,2787,20260502,6,1329,90,2,560.6,0.2,896.96,Debit Card,Mobile
3111,2091,20260714,38,1447,40,1,620.22,0.14,533.39,PayPal,Desktop
3112,95,20260808,23,266,11,3,508.04,0.01,1508.88,Debit Card,Mobile
3113,1871,20260126,8,889,31,2,968.2,0.27,1413.57,Debit Card,Desktop
3114,3433,20260115,39,657,14,4,804.73,0.2,2575.14,Credit Card,Mobile
3115,3133,20260823,8,1807,100,2,56.1,0.11,99.86,PayPal,Mobile
3116,1482,20261115,17,1915,47,1,301.59,0.19,244.29,Debit Card,Desktop
3117,1596,20260314,8,1229,24,1,635.99,0.1,572.39,Debit Card,Desktop
3118,3008,20260913,44,1661,15,2,124.33,0.13,216.33,PayPal,Desktop
3119,1452,20260314,26,219,18,4,854.13,0.07,3177.36,PayPal,Desktop
3120,897,20260715,2,763,47,4,927.48,0.13,3227.63,Debit Card,Mobile
3121,3491,20260823,34,979,96,4,143.52,0.16,482.23,Debit Card,Mobile
3122,2685,20260326,46,1560,37,1,742.97,0.07,690.96,PayPal,Desktop
3123,3629,20260205,25,361,64,2,336.83,0.24,511.98,Debit Card,Mobile
3124,453,20260422,5,1650,59,3,50.81,0.29,108.23,Debit Card,Mobile
3125,419,20261217,24,381,38,1,333.28,0.19,269.96,PayPal,Mobile
3126,3020,20260227,27,425,54,4,620.92,0.3,1738.58,Debit Card,Desktop
3127,1545,20260114,35,1158,50,2,849.63,0.12,1495.35,PayPal,Desktop
3128,3193,20260112,15,7,4,4,255.63,0.17,848.69,Debit Card,Mobile
3129,934,20260907,26,1493,30,3,698.77,0.28,1509.34,PayPal,Mobile
3130,3900,20260626,10,1597,91,4,597.82,0.05,2271.72,PayPal,Mobile
3131,237,20261205,25,676,77,4,661.66,0.14,2276.11,Credit Card,Desktop
3132,1545,20260202,48,1919,88,3,91.5,0.08,252.54,Credit Card,Mobile
3133,2104,20260211,11,576,62,2,566.06,0.05,1075.51,Credit Card,Mobile
3134,2853,20260111,38,1583,52,1,133.13,0.03,129.14,PayPal,Mobile
3135,2511,20260903,47,1619,94,2,367.93,0.13,640.2,PayPal,Desktop
3136,2517,20261023,29,1279,77,3,503.21,0.09,1373.76,Credit Card,Desktop
3137,2009,20260324,8,227,36,4,933.37,0.04,3584.14,PayPal,Desktop
3138,3022,20260621,7,1133,80,2,988.45,0.11,1759.44,PayPal,Mobile
3139,2589,20260105,44,1750,91,1,461.04,0.15,391.88,Debit Card,Desktop
3140,3396,20260505,7,345,77,3,139.98,0.12,369.55,Debit Card,Desktop
3141,3551,20260630,49,849,14,2,476.2,0.05,904.78,Debit Card,Desktop
3142,2297,20261108,33,146,12,1,439.99,0.15,373.99,PayPal,Mobile
3143,2656,20260927,38,1817,75,3,860.3,0.21,2038.91,Credit Card,Desktop
3144,194,20260929,8,1564,27,1,979.13,0.05,930.17,PayPal,Mobile
3145,1426,20260913,13,1629,88,3,123.02,0.3,258.34,PayPal,Mobile
3146,2831,20260228,13,864,16,4,419.57,0.24,1275.49,Credit Card,Mobile
3147,1097,20260829,38,76,97,2,633.22,0.16,1063.81,Credit Card,Desktop
3148,1951,20261219,44,335,77,1,621.95,0.02,609.51,Debit Card,Desktop
3149,922,20260710,22,1424,54,3,540.09,0.1,1458.24,Credit Card,Mobile
3150,3001,20260320,14,1237,81,1,507.74,0.08,467.12,Credit Card,Mobile
3151,434,20260614,29,1657,35,1,788.34,0.27,575.49,Credit Card,Mobile
3152,2578,20260615,48,1727,33,2,579.77,0.26,858.06,Debit Card,Desktop
3153,2881,20260402,12,1448,25,4,909.37,0.03,3528.36,Debit Card,Mobile
3154,2341,20260304,39,535,46,1,711.4,0.12,626.03,Debit Card,Mobile
3155,1304,20260417,15,193,41,3,737.16,0.17,1835.53,Debit Card,Mobile
3156,3162,20260127,31,1225,52,3,622.95,0.0,1868.85,PayPal,Desktop
3157,2850,20261115,43,627,47,4,93.83,0.18,307.76,PayPal,Desktop
3158,132,20260311,36,1535,79,3,648.16,0.27,1419.47,PayPal,Mobile
3159,3181,20261226,13,674,84,4,152.23,0.15,517.58,Credit Card,Desktop
3160,845,20260725,14,1973,80,3,532.81,0.02,1566.46,Debit Card,Mobile
3161,558,20260808,8,981,85,2,480.18,0.14,825.91,Credit Card,Desktop
3162,544,20260106,42,352,83,1,721.03,0.05,684.98,Credit Card,Desktop
3163,3244,20260218,47,471,8,2,703.93,0.16,1182.6,Debit Card,Mobile
3164,1264,20260405,1,193,70,1,746.84,0.13,649.75,Credit Card,Desktop
3165,3982,20260529,36,1788,35,1,305.03,0.09,277.58,Credit Card,Mobile
3166,3428,20260322,49,754,1,1,708.47,0.07,658.88,PayPal,Desktop
3167,3842,20260813,6,242,86,2,440.79,0.21,696.45,PayPal,Desktop
3168,1123,20261203,1,1255,74,1,111.87,0.1,100.68,Debit Card,Mobile
3169,2209,20260608,40,1448,9,2,520.24,0.06,978.05,Credit Card,Desktop
3170,550,20260120,20,1718,42,4,353.92,0.25,1061.76,Credit Card,Mobile
3171,3523,20260918,5,1367,100,3,913.83,0.05,2604.42,Credit Card,Mobile
3172,2526,20261126,18,372,96,3,239.65,0.11,639.87,PayPal,Mobile
3173,1968,20260119,25,1457,49,1,652.46,0.05,619.84,Debit Card,Desktop
3174,1422,20261104,15,475,69,2,214.61,0.05,407.76,Debit Card,Mobile
3175,2561,20261019,35,1603,97,3,287.55,0.25,646.99,Credit Card,Mobile
3176,1252,20261115,9,575,84,2,803.4,0.24,1221.17,PayPal,Mobile
3177,728,20260531,33,1526,25,2,52.09,0.13,90.64,Debit Card,Desktop
3178,2120,20260408,35,1239,30,1,241.49,0.09,219.76,Credit Card,Desktop
3179,3921,20260417,48,1079,49,3,499.01,0.03,1452.12,Debit Card,Desktop
3180,1483,20260120,19,360,37,1,532.34,0.23,409.9,Credit Card,Mobile
3181,2272,20260716,22,704,3,1,946.59,0.28,681.54,Debit Card,Desktop
3182,2366,20260415,23,335,98,3,373.02,0.25,839.29,PayPal,Desktop
3183,1965,20261108,41,1773,2,3,308.38,0.3,647.6,Credit Card,Desktop
3184,1339,20261106,14,661,77,4,879.94,0.13,3062.19,Credit Card,Desktop
3185,511,20260727,36,1072,26,4,361.73,0.08,1331.17,Credit Card,Mobile
3186,559,20261031,36,1042,59,2,808.26,0.1,1454.87,Credit Card,Desktop
3187,1647,20260526,43,773,67,3,752.59,0.18,1851.37,Debit Card,Desktop
3188,1058,20260819,30,34,53,4,609.59,0.18,1999.46,PayPal,Mobile
3189,92,20260823,28,1197,7,2,715.27,0.26,1058.6,Credit Card,Desktop
3190,108,20261115,49,441,68,2,468.3,0.02,917.87,Debit Card,Desktop
3191,1469,20260222,27,886,94,2,369.89,0.14,636.21,Debit Card,Mobile
3192,2070,20261201,28,1933,3,4,371.77,0.16,1249.15,PayPal,Mobile
3193,2306,20260716,47,1399,24,3,516.83,0.09,1410.95,Credit Card,Desktop
3194,2502,20261222,41,891,74,1,247.11,0.29,175.45,PayPal,Desktop
3195,1140,20260110,21,1556,3,2,888.8,0.3,1244.32,PayPal,Desktop
3196,3240,20260729,15,993,44,4,438.1,0.21,1384.4,Debit Card,Mobile
3197,1083,20260311,12,1629,72,4,833.58,0.22,2600.77,Debit Card,Mobile
3198,688,20260830,22,1642,58,1,839.87,0.16,705.49,Credit Card,Desktop
3199,3532,20260118,44,1760,31,1,852.26,0.1,767.03,PayPal,Desktop
3200,707,20261228,49,771,39,4,999.04,0.13,3476.66,PayPal,Mobile
3201,2119,20261119,42,589,74,3,440.71,0.23,1018.04,Credit Card,Desktop
3202,803,20261014,21,1049,45,1,874.76,0.2,699.81,Credit Card,Mobile
3203,3130,20260213,10,900,71,4,70.65,0.02,276.95,PayPal,Desktop
3204,2501,20261104,42,427,1,1,366.79,0.29,260.42,Debit Card,Desktop
3205,2006,20260317,30,718,68,3,911.22,0.27,1995.57,Debit Card,Desktop
3206,1700,20260125,10,106,25,2,896.96,0.12,1578.65,PayPal,Desktop
3207,866,20260421,41,1219,34,1,291.04,0.2,232.83,Debit Card,Desktop
3208,2762,20260506,10,402,29,3,271.0,0.16,682.92,Debit Card,Desktop
3209,3450,20261214,48,1848,7,4,450.59,0.14,1550.03,Debit Card,Mobile
3210,3549,20260305,23,945,60,1,891.61,0.09,811.37,Debit Card,Mobile
3211,1004,20261212,26,911,69,1,442.8,0.04,425.09,Debit Card,Mobile
3212,3748,20260918,39,1001,64,4,633.54,0.27,1849.94,Debit Card,Desktop
3213,2663,20260711,16,1928,37,2,632.61,0.21,999.52,PayPal,Desktop
3214,1828,20260312,48,942,33,4,608.06,0.25,1824.18,Credit Card,Mobile
3215,1947,20260901,19,52,34,1,419.83,0.13,365.25,Credit Card,Mobile
3216,1263,20260903,39,912,45,4,450.19,0.11,1602.68,Credit Card,Desktop
3217,3140,20260215,14,1335,100,3,122.23,0.23,282.35,Credit Card,Mobile
3218,2636,20261115,46,96,74,4,608.94,0.24,1851.18,Debit Card,Mobile
3219,2074,20260729,10,496,96,1,403.97,0.11,359.53,Debit Card,Desktop
3220,3279,20260625,22,1341,85,4,281.96,0.29,800.77,Debit Card,Desktop
3221,821,20260506,44,267,53,2,374.86,0.05,712.23,Debit Card,Mobile
3222,3124,20261120,1,1765,5,4,699.36,0.27,2042.13,Debit Card,Desktop
3223,323,20260115,5,123,95,2,862.69,0.17,1432.07,Credit Card,Desktop
3224,3378,20261027,27,160,11,3,990.12,0.2,2376.29,PayPal,Desktop
3225,417,20260610,44,1817,41,2,993.94,0.03,1928.24,PayPal,Mobile
3226,1747,20260818,5,639,94,4,798.18,0.08,2937.3,Debit Card,Desktop
3227,2634,20260818,49,1327,53,1,453.8,0.03,440.19,PayPal,Desktop
3228,3003,20261209,38,843,52,2,50.06,0.22,78.09,PayPal,Desktop
3229,65,20261008,48,764,92,3,891.17,0.21,2112.07,Credit Card,Desktop
3230,1536,20260726,2,1079,83,2,375.94,0.18,616.54,PayPal,Mobile
3231,2834,20260522,15,8,94,2,732.41,0.21,1157.21,Credit Card,Mobile
3232,72,20260912,21,570,62,2,451.67,0.09,822.04,PayPal,Mobile
3233,638,20261116,5,519,8,3,558.28,0.05,1591.1,Debit Card,Mobile
3234,1541,20260421,3,632,63,4,881.89,0.16,2963.15,Debit Card,Desktop
3235,370,20260505,17,930,94,2,252.55,0.18,414.18,PayPal,Desktop
3236,1239,20260327,9,6,25,2,298.09,0.09,542.52,Debit Card,Desktop
3237,3057,20260525,44,341,93,1,147.96,0.28,106.53,Credit Card,Desktop
3238,337,20261127,35,1876,96,3,264.38,0.11,705.89,PayPal,Desktop
3239,2036,20260731,31,620,13,2,344.59,0.26,509.99,Credit Card,Mobile
3240,2762,20260415,13,18,19,3,922.74,0.02,2712.86,Debit Card,Desktop
3241,1714,20260411,50,652,69,2,304.16,0.28,437.99,Credit Card,Desktop
3242,3178,20260418,35,747,82,4,953.32,0.28,2745.56,Credit Card,Mobile
3243,3592,20260908,40,1653,80,4,572.86,0.1,2062.3,Credit Card,Desktop
3244,312,20261228,11,1989,71,2,891.88,0.24,1355.66,Debit Card,Desktop
3245,3986,20260704,8,772,59,4,817.27,0.25,2451.81,Debit Card,Mobile
3246,398,20260421,38,452,40,2,561.14,0.28,808.04,PayPal,Mobile
3247,3000,20261008,4,402,69,4,896.95,0.23,2762.61,Credit Card,Desktop
3248,2486,20260717,12,639,21,1,229.62,0.04,220.44,Credit Card,Desktop
3249,3126,20261022,4,1722,76,1,490.14,0.25,367.61,PayPal,Mobile
3250,1935,20260330,13,605,12,1,110.15,0.09,100.24,Credit Card,Desktop
3251,1362,20260725,42,730,47,3,133.72,0.07,373.08,Credit Card,Mobile
3252,242,20260202,20,608,2,3,354.69,0.01,1053.43,Debit Card,Desktop
3253,3661,20260930,4,1263,95,1,133.55,0.21,105.5,Debit Card,Desktop
3254,1282,20261111,21,936,53,3,571.58,0.2,1371.79,PayPal,Desktop
3255,3631,20260502,20,246,72,4,761.85,0.09,2773.13,PayPal,Mobile
3256,3846,20261102,40,1757,77,2,611.46,0.04,1174.0,Debit Card,Desktop
3257,337,20260320,40,1879,94,2,102.32,0.09,186.22,Credit Card,Mobile
3258,3065,20260803,25,1313,49,2,973.11,0.28,1401.28,PayPal,Mobile
3259,3442,20260109,45,1489,68,1,105.93,0.23,81.57,PayPal,Mobile
3260,3032,20260323,8,829,69,3,680.95,0.04,1961.14,Credit Card,Desktop
3261,343,20260915,41,1661,64,4,928.8,0.05,3529.44,Debit Card,Desktop
3262,2533,20260329,37,1596,49,4,667.86,0.11,2377.58,Credit Card,Mobile
3263,2347,20260928,46,177,96,1,233.88,0.08,215.17,Credit Card,Mobile
3264,3276,20260626,41,1298,82,4,590.27,0.04,2266.64,Debit Card,Desktop
3265,1868,20260308,4,1441,26,4,772.06,0.17,2563.24,Credit Card,Mobile
3266,1898,20260116,18,1145,44,4,94.3,0.19,305.53,PayPal,Desktop
3267,1897,20260307,8,297,79,4,291.38,0.06,1095.59,Debit Card,Mobile
3268,3324,20260601,3,679,87,3,367.94,0.27,805.79,PayPal,Mobile
3269,3882,20261228,34,819,3,4,933.26,0.27,2725.12,Debit Card,Mobile
3270,3832,20260528,12,537,2,2,574.8,0.05,1092.12,Debit Card,Desktop
3271,3911,20260603,26,1419,78,1,892.09,0.08,820.72,Debit Card,Mobile
3272,2600,20261024,33,1991,94,3,72.13,0.26,160.13,PayPal,Desktop
3273,837,20260812,3,193,50,4,422.54,0.21,1335.23,Debit Card,Desktop
3274,2290,20260809,32,1088,66,3,815.0,0.07,2273.85,PayPal,Desktop
3275,3733,20260715,40,1277,31,4,380.21,0.21,1201.46,Credit Card,Mobile
3276,2651,20260719,9,1813,18,2,676.05,0.02,1325.06,PayPal,Mobile
3277,3556,20260215,13,1139,49,1,992.68,0.24,754.44,Credit Card,Desktop
3278,3086,20260904,29,1849,11,4,839.17,0.08,3088.15,PayPal,Mobile
3279,497,20260420,49,1477,94,4,533.49,0.06,2005.92,Debit Card,Desktop
3280,2333,20260506,19,631,10,4,582.11,0.29,1653.19,PayPal,Mobile
3281,196,20260513,24,478,40,4,486.62,0.17,1615.58,Debit Card,Mobile
3282,381,20261015,48,838,61,1,277.4,0.11,246.89,Credit Card,Mobile
3283,2694,20261016,47,807,64,1,364.81,0.07,339.27,Credit Card,Desktop
3284,2568,20260919,34,1533,99,2,771.18,0.12,1357.28,Debit Card,Desktop
3285,3650,20260714,11,753,100,1,704.33,0.04,676.16,PayPal,Mobile
3286,2198,20260323,1,1557,98,4,549.26,0.05,2087.19,Credit Card,Mobile
3287,1790,20260320,33,1054,44,2,283.2,0.06,532.42,Debit Card,Desktop
3288,3714,20261215,27,1309,64,2,945.02,0.13,1644.33,PayPal,Mobile
3289,3284,20261109,36,449,62,2,951.64,0.08,1751.02,Debit Card,Desktop
3290,1372,20261022,10,163,30,4,359.18,0.17,1192.48,Debit Card,Mobile
3291,1412,20260211,44,1613,91,3,940.75,0.1,2540.03,Debit Card,Mobile
3292,2202,20260915,46,937,36,4,715.02,0.15,2431.07,Credit Card,Mobile
3293,1581,20261228,44,1818,21,1,654.31,0.29,464.56,Debit Card,Desktop
3294,2671,20260615,8,1618,79,1,772.58,0.25,579.44,PayPal,Desktop
3295,2512,20260806,27,729,41,4,294.31,0.07,1094.83,Credit Card,Desktop
3296,2505,20261125,26,903,68,4,464.04,0.27,1355.0,PayPal,Desktop
3297,3314,20260502,4,1159,27,2,938.6,0.0,1877.2,Debit Card,Mobile
3298,786,20260201,3,176,98,4,843.32,0.12,2968.49,PayPal,Desktop
3299,707,20261022,18,297,17,2,501.63,0.19,812.64,PayPal,Desktop
3300,3164,20261005,43,1230,22,1,802.29,0.06,754.15,Debit Card,Desktop
3301,2130,20260730,50,521,56,2,575.63,0.17,955.55,PayPal,Mobile
3302,3977,20260212,3,563,2,4,814.24,0.26,2410.15,Credit Card,Mobile
3303,3500,20260603,22,1783,29,1,575.87,0.02,564.35,Debit Card,Mobile
3304,1640,20260711,48,996,14,3,804.83,0.16,2028.17,Debit Card,Desktop
3305,1414,20260514,16,1200,20,2,308.94,0.26,457.23,Debit Card,Mobile
3306,1095,20261111,48,1689,52,1,896.0,0.15,761.6,PayPal,Mobile
3307,3070,20260911,14,810,90,2,179.23,0.19,290.35,Debit Card,Mobile
3308,2174,20260224,23,838,57,1,619.34,0.05,588.37,PayPal,Mobile
3309,351,20260914,23,1987,42,1,396.21,0.01,392.25,PayPal,Mobile
3310,2037,20261013,30,697,41,2,283.61,0.01,561.55,PayPal,Mobile
3311,1708,20260215,17,446,78,3,918.48,0.12,2424.79,Debit Card,Desktop
3312,3066,20260902,26,6,58,1,659.28,0.08,606.54,PayPal,Mobile
3313,3201,20260904,37,1428,73,1,838.63,0.02,821.86,Credit Card,Mobile
3314,628,20260822,37,1388,89,1,509.11,0.11,453.11,Debit Card,Desktop
3315,677,20260219,22,422,87,3,803.79,0.18,1977.32,Credit Card,Desktop
3316,3111,20260522,44,1557,32,3,638.92,0.05,1820.92,PayPal,Desktop
3317,1823,20261206,28,718,49,4,591.85,0.08,2178.01,Debit Card,Mobile
3318,2971,20260904,40,540,84,2,67.8,0.1,122.04,PayPal,Mobile
3319,3137,20261123,28,1100,61,3,843.58,0.07,2353.59,PayPal,Desktop
3320,2309,20260222,12,1948,19,2,369.47,0.12,650.27,PayPal,Mobile
3321,3677,20261026,4,998,52,4,302.35,0.18,991.71,PayPal,Mobile
3322,1475,20260602,38,950,60,2,871.87,0.1,1569.37,Credit Card,Mobile
3323,1365,20261206,42,517,60,3,95.35,0.04,274.61,Debit Card,Mobile
3324,2717,20260528,5,1677,85,2,633.83,0.08,1166.25,Debit Card,Desktop
3325,1919,20260310,33,690,52,3,214.3,0.28,462.89,Debit Card,Mobile
3326,2996,20260425,41,1000,40,2,375.48,0.19,608.28,Credit Card,Desktop
3327,1916,20261001,14,1269,86,3,362.36,0.19,880.53,Debit Card,Mobile
3328,3960,20260502,24,716,71,3,867.67,0.16,2186.53,Credit Card,Desktop
3329,1999,20260906,24,1901,65,2,759.5,0.09,1382.29,Credit Card,Desktop
3330,3728,20260726,34,1584,34,4,92.1,0.24,279.98,PayPal,Mobile
3331,3038,20260410,48,1342,82,1,440.02,0.07,409.22,Debit Card,Desktop
3332,1031,20260101,26,1653,76,4,335.55,0.14,1154.29,Debit Card,Mobile
3333,2417,20260511,32,1476,89,2,743.06,0.15,1263.2,Credit Card,Desktop
3334,2343,20260305,22,86,67,4,578.17,0.21,1827.02,PayPal,Mobile
3335,3140,20260913,26,76,16,3,941.89,0.11,2514.85,Debit Card,Mobile
3336,80,20260408,5,943,45,1,628.06,0.12,552.69,PayPal,Mobile
3337,1796,20261204,48,73,50,2,854.06,0.23,1315.25,Debit Card,Desktop
3338,2871,20261022,39,365,68,2,81.77,0.16,137.37,Debit Card,Desktop
3339,640,20261215,8,1535,47,2,142.97,0.27,208.74,PayPal,Mobile
3340,2398,20261207,28,912,52,1,572.19,0.24,434.86,PayPal,Mobile
3341,1994,20260630,16,754,87,3,998.3,0.24,2276.12,Debit Card,Desktop
3342,545,20260124,35,1103,28,2,514.6,0.14,885.11,Debit Card,Mobile
3343,437,20260420,49,398,79,4,268.96,0.1,968.26,Credit Card,Mobile
3344,3731,20260520,20,338,64,2,230.08,0.18,377.33,PayPal,Desktop
3345,2755,20261111,15,643,62,2,265.38,0.12,467.07,PayPal,Desktop
3346,3895,20260815,45,549,67,2,780.19,0.27,1139.08,Credit Card,Mobile
3347,2735,20261227,1,1361,7,2,779.26,0.29,1106.55,Debit Card,Mobile
3348,1495,20260706,36,1667,20,3,785.47,0.13,2050.08,Debit Card,Mobile
3349,744,20260920,43,851,31,4,215.4,0.25,646.2,PayPal,Desktop
3350,3277,20261030,5,290,65,3,948.68,0.21,2248.37,PayPal,Desktop
3351,3319,20260808,9,1377,17,4,942.03,0.03,3655.08,Credit Card,Mobile
3352,1321,20260208,11,1649,49,2,300.66,0.2,481.06,Credit Card,Mobile
3353,2325,20261027,10,1727,43,1,514.77,0.19,416.96,PayPal,Desktop
3354,1850,20260721,17,1289,81,3,977.91,0.23,2258.97,Debit Card,Desktop
3355,2812,20260710,21,574,37,1,715.06,0.05,679.31,Credit Card,Mobile
3356,2181,20260924,43,1741,98,3,142.68,0.23,329.59,PayPal,Desktop
3357,769,20260213,33,1980,3,2,253.14,0.28,364.52,PayPal,Desktop
3358,2655,20260315,42,1106,13,3,105.04,0.17,261.55,PayPal,Mobile
3359,2102,20260816,20,1599,13,2,845.63,0.22,1319.18,PayPal,Desktop
3360,2748,20260912,9,340,4,3,942.14,0.08,2600.31,Credit Card,Desktop
3361,1326,20261205,18,1997,8,2,546.12,0.06,1026.71,Credit Card,Mobile
3362,3734,20260405,25,24,26,2,470.77,0.16,790.89,Credit Card,Desktop
3363,1978,20260722,3,1500,74,4,924.13,0.14,3179.01,Credit Card,Desktop
3364,3979,20261205,35,486,100,2,681.76,0.13,1186.26,Debit Card,Desktop
3365,1980,20260315,27,1340,62,4,753.44,0.11,2682.25,PayPal,Mobile
3366,2044,20261122,10,86,37,2,445.23,0.29,632.23,PayPal,Desktop
3367,2053,20261015,25,1667,74,1,96.86,0.09,88.14,Credit Card,Mobile
3368,1586,20260426,20,1341,43,2,891.75,0.2,1426.8,Debit Card,Desktop
3369,2412,20261111,40,171,52,1,457.93,0.09,416.72,Credit Card,Desktop
3370,84,20261217,25,1607,33,1,765.09,0.18,627.37,PayPal,Mobile
3371,2643,20261017,1,470,39,2,733.35,0.23,1129.36,Credit Card,Desktop
3372,2442,20261205,29,1399,7,1,998.15,0.21,788.54,Credit Card,Mobile
3373,1627,20260711,35,292,75,4,580.72,0.03,2253.19,Debit Card,Desktop
3374,3936,20260106,22,1889,32,3,489.25,0.05,1394.36,Credit Card,Mobile
3375,3199,20261123,22,1951,22,2,906.26,0.22,1413.77,Debit Card,Mobile
3376,3011,20260313,49,52,71,1,215.52,0.13,187.5,PayPal,Desktop
3377,580,20260707,39,475,26,2,803.03,0.15,1365.15,Debit Card,Mobile
3378,3438,20260915,40,1309,11,4,836.18,0.06,3144.04,Credit Card,Desktop
3379,1337,20260705,6,984,40,2,476.2,0.27,695.25,Debit Card,Desktop
3380,2892,20260713,23,251,4,2,595.21,0.23,916.62,Credit Card,Mobile
3381,363,20260605,10,1866,70,1,94.73,0.24,71.99,Credit Card,Mobile
3382,3898,20260214,41,1194,91,4,592.79,0.11,2110.33,Debit Card,Mobile
3383,2470,20260423,30,205,64,3,371.93,0.23,859.16,Debit Card,Mobile
3384,1415,20260906,27,1025,58,3,714.3,0.06,2014.33,Credit Card,Desktop
3385,2862,20260207,25,10,43,1,173.09,0.27,126.36,Credit Card,Desktop
3386,2600,20260510,41,1138,76,2,563.83,0.07,1048.72,Debit Card,Mobile
3387,473,20260503,49,1142,59,1,475.81,0.17,394.92,Debit Card,Desktop
3388,249,20260826,1,795,36,1,872.39,0.13,758.98,Credit Card,Desktop
3389,2927,20260616,38,1637,92,1,944.66,0.2,755.73,Debit Card,Mobile
3390,969,20260210,3,467,29,2,657.1,0.14,1130.21,Credit Card,Desktop
3391,2960,20261025,47,925,43,4,801.68,0.22,2501.24,Debit Card,Desktop
3392,2224,20260624,18,1837,69,1,160.49,0.0,160.49,Credit Card,Desktop
3393,3285,20261225,14,1728,15,2,879.58,0.13,1530.47,PayPal,Mobile
3394,3462,20260626,19,333,62,4,417.67,0.26,1236.3,Credit Card,Desktop
3395,3848,20261101,24,1675,75,1,790.48,0.18,648.19,PayPal,Desktop
3396,441,20260902,4,992,74,3,442.88,0.04,1275.49,Debit Card,Desktop
3397,2760,20260607,48,720,54,4,887.06,0.11,3157.93,Debit Card,Desktop
3398,622,20260318,11,794,88,1,536.15,0.24,407.47,PayPal,Mobile
3399,2787,20260601,2,1553,27,4,531.56,0.08,1956.14,PayPal,Mobile
3400,1558,20261108,34,1758,45,4,532.1,0.29,1511.16,PayPal,Desktop
3401,2418,20260106,47,1224,24,4,850.71,0.11,3028.53,PayPal,Desktop
3402,1679,20260204,36,976,5,4,257.56,0.04,989.03,PayPal,Desktop
3403,1535,20260814,30,84,97,4,895.85,0.13,3117.56,PayPal,Mobile
3404,592,20261019,25,457,64,4,586.75,0.25,1760.25,Debit Card,Mobile
3405,226,20260816,29,1556,31,1,116.27,0.24,88.37,Debit Card,Mobile
3406,768,20260308,43,1625,5,3,576.2,0.13,1503.88,Debit Card,Mobile
3407,2804,20260528,50,496,7,2,241.63,0.07,449.43,Credit Card,Mobile
3408,1147,20261112,25,47,52,4,609.92,0.07,2268.9,PayPal,Mobile
3409,2899,20260713,15,1393,1,2,587.7,0.29,834.53,Debit Card,Desktop
3410,2203,20261202,26,662,100,1,173.99,0.1,156.59,Credit Card,Desktop
3411,1976,20260216,46,1710,7,4,179.71,0.1,646.96,Credit Card,Desktop
3412,2277,20260516,22,589,69,3,291.12,0.27,637.55,Debit Card,Desktop
3413,2588,20260506,49,1567,67,2,151.3,0.29,214.85,Credit Card,Desktop
3414,3705,20260327,10,1085,1,4,394.0,0.29,1118.96,Debit Card,Mobile
3415,3976,20260816,9,748,43,1,439.69,0.3,307.78,Credit Card,Desktop
3416,2256,20261013,34,1306,58,3,866.66,0.29,1845.99,PayPal,Desktop
3417,2958,20260115,38,1948,17,2,694.8,0.01,1375.7,Credit Card,Mobile
3418,141,20260508,6,1273,92,2,893.33,0.28,1286.4,Debit Card,Desktop
3419,3178,20260801,37,1356,17,4,926.38,0.29,2630.92,PayPal,Desktop
3420,3768,20261017,34,1018,26,3,548.26,0.15,1398.06,PayPal,Mobile
3421,2325,20260509,24,1633,53,3,811.37,0.24,1849.92,Credit Card,Mobile
3422,1269,20260831,20,236,55,3,919.93,0.17,2290.63,Credit Card,Mobile
3423,2075,20260410,1,965,1,3,772.23,0.16,1946.02,Credit Card,Desktop
3424,1998,20260210,20,694,88,1,716.5,0.05,680.67,Credit Card,Mobile
3425,2881,20260111,42,1541,1,3,189.78,0.05,540.87,Credit Card,Desktop
3426,274,20260704,26,565,68,2,332.68,0.28,479.06,Debit Card,Mobile
3427,3558,20261204,18,832,54,2,871.64,0.02,1708.41,Credit Card,Desktop
3428,401,20260613,23,351,52,1,667.72,0.01,661.04,PayPal,Desktop
3429,942,20260510,47,816,8,2,311.99,0.25,467.99,Debit Card,Desktop
3430,3298,20260530,13,414,2,2,748.2,0.28,1077.41,PayPal,Desktop
3431,975,20260917,45,1138,28,3,954.73,0.04,2749.62,Debit Card,Mobile
3432,1064,20260807,22,913,77,2,96.53,0.03,187.27,Credit Card,Mobile
3433,3038,20260310,43,1089,44,1,431.27,0.02,422.64,PayPal,Mobile
3434,1495,20261114,3,1480,14,3,652.55,0.0,1957.65,PayPal,Desktop
3435,1980,20260912,43,271,4,4,628.84,0.25,1886.52,PayPal,Mobile
3436,489,20260629,36,317,71,3,119.93,0.04,345.4,PayPal,Desktop
3437,3972,20260306,37,922,1,1,276.36,0.21,218.32,Debit Card,Mobile
3438,2431,20260902,7,704,69,3,606.22,0.15,1545.86,PayPal,Desktop
